dataset,seed,t,J,silhouette,margin,error,g,entanglement_proxy_E,delta_accuracy_vs_J0
Fashion-MNIST,59,0.25,0.0,0.24529507344321655,0.4106352455101505,0.2242211264505697,0.4317091925027974,0.2959735447102446,0.011157979360435223
Fashion-MNIST,11,0.25,0.03,0.26572345154850663,0.41808209374896016,0.2263808162995891,0.45742472899787767,0.34331780573621223,0.01287752665670328
Fashion-MNIST,23,0.25,0.03,0.27712587789872234,0.4086451876828093,0.22898835458852293,0.4567827109930087,0.3716808213239089,0.009828339434495176
Fashion-MNIST,37,0.25,0.03,0.2747249006895959,0.43104542643396865,0.21905120704531067,0.4867191200782538,0.3057709676889319,0.01429864073330252
Fashion-MNIST,47,0.25,0.03,0.26877910754856044,0.42895660330995383,0.2184068258646861,0.4793288849938282,0.3397560142032554,0.010715686705667941
Fashion-MNIST,59,0.25,0.03,0.25803007344321655,0.42782524551015055,0.2187161264505697,0.46713919250279745,0.3453535447102446,0.012849979360435223
Fashion-MNIST,11,0.25,0.06,0.27692845154850665,0.4336520937489601,0.2218658162995891,0.4887147289978776,0.38945780573621225,0.014353526656703282
Fashion-MNIST,23,0.25,0.06,0.28833087789872236,0.4242151876828092,0.22447335458852294,0.48807271099300864,0.4178208213239089,0.011304339434495178
Fashion-MNIST,37,0.25,0.06,0.2859299006895959,0.44661542643396857,0.21453620704531068,0.5180091200782537,0.35191096768893193,0.015774640733302522
Fashion-MNIST,47,0.25,0.06,0.27998410754856046,0.44452660330995375,0.2138918258646861,0.5106188849938281,0.3858960142032554,0.012191686705667943
Fashion-MNIST,59,0.25,0.06,0.26923507344321657,0.44339524551015047,0.2142011264505697,0.4984291925027973,0.3914935447102446,0.014325979360435224
Fashion-MNIST,11,0.25,0.1,0.2894884515485066,0.4518920937489601,0.2173858162995891,0.5239947289978776,0.4459378057362122,0.015985526656703282
Fashion-MNIST,23,0.25,0.1,0.3008908778987223,0.4424551876828092,0.21999335458852295,0.5233527109930086,0.4743008213239089,0.012936339434495178
Fashion-MNIST,37,0.25,0.1,0.29848990068959586,0.4648554264339686,0.2100562070453107,0.5532891200782537,0.4083909676889319,0.017406640733302524
Fashion-MNIST,47,0.25,0.1,0.2925441075485604,0.4627666033099538,0.20941182586468612,0.5458988849938281,0.4423760142032554,0.013823686705667942
Fashion-MNIST,59,0.25,0.1,0.2817950734432165,0.4616352455101505,0.20972112645056973,0.5337091925027974,0.4479735447102446,0.015957979360435224
Fashion-MNIST,11,0.25,0.15,0.30136345154850663,0.4706420937489601,0.2142608162995891,0.5577447289978776,0.5084378057362122,0.01748552665670328
Fashion-MNIST,23,0.25,0.15,0.31276587789872234,0.4612051876828092,0.21686835458852294,0.5571027109930086,0.5368008213239089,0.014436339434495175
Fashion-MNIST,37,0.25,0.15,0.3103649006895959,0.4836054264339686,0.20693120704531068,0.5870391200782539,0.4708909676889319,0.01890664073330252
Fashion-MNIST,47,0.25,0.15,0.30441910754856044,0.4815166033099538,0.2062868258646861,0.5796488849938282,0.5048760142032553,0.01532368670566794
Fashion-MNIST,59,0.25,0.15,0.29367007344321655,0.4803852455101505,0.2065961264505697,0.5674591925027973,0.5104735447102446,0.017457979360435222
Fashion-MNIST,11,0.25,0.22,0.3108484515485066,0.48933209374896014,0.2145058162995891,0.5856747289978776,0.5808178057362122,0.01857752665670328
Fashion-MNIST,23,0.25,0.22,0.3222508778987223,0.47989518768280925,0.21711335458852293,0.5850327109930087,0.6091808213239089,0.015528339434495175
Fashion-MNIST,37,0.25,0.22,0.31984990068959585,0.5022954264339686,0.20717620704531067,0.6149691200782538,0.5432709676889319,0.01999864073330252
Fashion-MNIST,47,0.25,0.22,0.3139041075485604,0.5002066033099538,0.2065318258646861,0.6075788849938281,0.5772560142032553,0.01641568670566794
Fashion-MNIST,59,0.25,0.22,0.3031550734432165,0.49907524551015053,0.2068411264505697,0.5953891925027973,0.5828535447102446,0.01854997936043522
Fashion-MNIST,11,0.25,0.3,0.31148845154850663,0.49989209374896015,0.22138581629958912,0.5899947289978776,0.6419378057362123,0.01838552665670328
Fashion-MNIST,23,0.25,0.3,0.32289087789872234,0.49045518768280927,0.22399335458852296,0.5893527109930087,0.670300821323909,0.015336339434495177
Fashion-MNIST,37,0.25,0.3,0.3204899006895959,0.5128554264339686,0.2140562070453107,0.6192891200782538,0.604390967688932,0.019806640733302523
Fashion-MNIST,47,0.25,0.3,0.31454410754856044,0.5107666033099538,0.21341182586468613,0.6118988849938282,0.6383760142032554,0.016223686705667942
Fashion-MNIST,59,0.25,0.3,0.30379507344321655,0.5096352455101505,0.21372112645056973,0.5997091925027973,0.6439735447102447,0.018357979360435223
Fashion-MNIST,11,0.25,0.4,0.29698845154850667,0.4968920937489601,0.2398858162995891,0.5539947289978777,0.6859378057362122,0.015985526656703282
Fashion-MNIST,23,0.25,0.4,0.3083908778987224,0.4874551876828092,0.24249335458852295,0.5533527109930086,0.7143008213239089,0.012936339434495178
Fashion-MNIST,37,0.25,0.4,0.3059899006895959,0.5098554264339685,0.2325562070453107,0.5832891200782537,0.6483909676889319,0.017406640733302524
Fashion-MNIST,47,0.25,0.4,0.3000441075485605,0.5077666033099538,0.23191182586468612,0.5758988849938282,0.6823760142032553,0.013823686705667942
Fashion-MNIST,59,0.25,0.4,0.2892950734432166,0.5066352455101505,0.23222112645056972,0.5637091925027974,0.6879735447102446,0.015957979360435224
Fashion-MNIST,11,0.5,0.0,0.27988910612566387,0.4033851475695662,0.22916367555400477,0.45411057814122535,0.2685538674800067,0.005186077401989769
Fashion-MNIST,23,0.5,0.0,0.2600897280734992,0.4165907888489836,0.21187337764829986,0.46480713927418293,0.3191255774477653,0.005995909874501823
Fashion-MNIST,37,0.5,0.0,0.2871915791837884,0.41102027729719826,0.22757917478585804,0.4706326816951287,0.30960368226258406,0.008039123291855684
Fashion-MNIST,47,0.5,0.0,0.261341652207918,0.4088518150436342,0.22954577350418584,0.44064769374736634,0.31545407677173576,0.01700700928015652
Fashion-MNIST,59,0.5,0.0,0.2632982799587222,0.4132960655843141,0.22417180760187985,0.4524225379411565,0.29940654485941876,0.0027651118494513207
Fashion-MNIST,11,0.5,0.03,0.29262410612566386,0.42057514756956627,0.22365867555400476,0.4895405781412253,0.3179338674800067,0.006878077401989768
Fashion-MNIST,23,0.5,0.03,0.2728247280734992,0.43378078884898363,0.20636837764829985,0.500237139274183,0.3685055774477653,0.007687909874501822
Fashion-MNIST,37,0.5,0.03,0.2999265791837884,0.4282102772971983,0.22207417478585803,0.5060626816951287,0.35898368226258404,0.009731123291855683
Fashion-MNIST,47,0.5,0.03,0.274076652207918,0.42604181504363425,0.22404077350418583,0.4760776937473664,0.36483407677173574,0.01869900928015652
Fashion-MNIST,59,0.5,0.03,0.2760332799587222,0.4304860655843141,0.21866680760187984,0.48785253794115646,0.34878654485941873,0.00445711184945132
Fashion-MNIST,11,0.5,0.06,0.3038291061256639,0.4361451475695662,0.21914367555400477,0.5208305781412252,0.3640738674800067,0.00835407740198977
Fashion-MNIST,23,0.5,0.06,0.28402972807349924,0.44935078884898355,0.20185337764829986,0.5315271392741829,0.4146455774477653,0.009163909874501823
Fashion-MNIST,37,0.5,0.06,0.3111315791837884,0.4437802772971982,0.21755917478585804,0.5373526816951286,0.40512368226258405,0.011207123291855685
Fashion-MNIST,47,0.5,0.06,0.285281652207918,0.44161181504363417,0.21952577350418584,0.5073676937473663,0.41097407677173575,0.020175009280156524
Fashion-MNIST,59,0.5,0.06,0.2872382799587222,0.44605606558431404,0.21415180760187985,0.5191425379411565,0.39492654485941875,0.005933111849451321
Fashion-MNIST,11,0.5,0.1,0.31638910612566384,0.4543851475695662,0.21466367555400478,0.5561105781412252,0.42055386748000667,0.009986077401989769
Fashion-MNIST,23,0.5,0.1,0.2965897280734992,0.4675907888489836,0.19737337764829987,0.5668071392741829,0.4711255774477653,0.010795909874501824
Fashion-MNIST,37,0.5,0.1,0.3236915791837884,0.46202027729719825,0.21307917478585806,0.5726326816951286,0.461603682262584,0.012839123291855683
Fashion-MNIST,47,0.5,0.1,0.297841652207918,0.4598518150436342,0.21504577350418586,0.5426476937473663,0.4674540767717357,0.02180700928015652
Fashion-MNIST,59,0.5,0.1,0.29979827995872216,0.4642960655843141,0.20967180760187987,0.5544225379411564,0.4514065448594187,0.007565111849451321
Fashion-MNIST,11,0.5,0.15,0.32826410612566387,0.4731351475695662,0.21153867555400477,0.5898605781412254,0.48305386748000667,0.011486077401989767
Fashion-MNIST,23,0.5,0.15,0.30846472807349923,0.4863407888489836,0.19424837764829986,0.600557139274183,0.5336255774477653,0.012295909874501822
Fashion-MNIST,37,0.5,0.15,0.3355665791837884,0.48077027729719823,0.20995417478585804,0.6063826816951285,0.5241036822625841,0.01433912329185568
Fashion-MNIST,47,0.5,0.15,0.309716652207918,0.4786018150436342,0.21192077350418584,0.5763976937473664,0.5299540767717357,0.02330700928015652
Fashion-MNIST,59,0.5,0.15,0.3116732799587222,0.48304606558431407,0.20654680760187985,0.5881725379411564,0.5139065448594188,0.009065111849451319
Fashion-MNIST,11,0.5,0.22,0.33774910612566383,0.49182514756956625,0.21178367555400476,0.6177905781412253,0.5554338674800067,0.012578077401989766
Fashion-MNIST,23,0.5,0.22,0.3179497280734992,0.5050307888489836,0.19449337764829985,0.6284871392741829,0.6060055774477653,0.013387909874501822
Fashion-MNIST,37,0.5,0.22,0.34505157918378837,0.4994602772971983,0.21019917478585803,0.6343126816951286,0.5964836822625841,0.01543112329185568
Fashion-MNIST,47,0.5,0.22,0.31920165220791796,0.49729181504363423,0.21216577350418583,0.6043276937473664,0.6023340767717357,0.02439900928015652
Fashion-MNIST,59,0.5,0.22,0.32115827995872215,0.501736065584314,0.20679180760187985,0.6161025379411563,0.5862865448594188,0.010157111849451318
Fashion-MNIST,11,0.5,0.3,0.33838910612566386,0.5023851475695662,0.2186636755540048,0.6221105781412253,0.6165538674800067,0.012386077401989768
Fashion-MNIST,23,0.5,0.3,0.3185897280734992,0.5155907888489836,0.20137337764829988,0.6328071392741829,0.6671255774477653,0.013195909874501824
Fashion-MNIST,37,0.5,0.3,0.3456915791837884,0.5100202772971983,0.21707917478585806,0.6386326816951287,0.6576036822625841,0.015239123291855682
Fashion-MNIST,47,0.5,0.3,0.319841652207918,0.5078518150436342,0.21904577350418586,0.6086476937473663,0.6634540767717357,0.02420700928015652
Fashion-MNIST,59,0.5,0.3,0.3217982799587222,0.5122960655843141,0.21367180760187987,0.6204225379411564,0.6474065448594188,0.00996511184945132
Fashion-MNIST,11,0.5,0.4,0.3238891061256639,0.49938514756956615,0.23716367555400478,0.5861105781412252,0.6605538674800067,0.009986077401989769
Fashion-MNIST,23,0.5,0.4,0.30408972807349927,0.5125907888489835,0.21987337764829987,0.5968071392741828,0.7111255774477653,0.010795909874501824
Fashion-MNIST,37,0.5,0.4,0.33119157918378844,0.5070202772971982,0.23557917478585805,0.6026326816951286,0.7016036822625841,0.012839123291855683
Fashion-MNIST,47,0.5,0.4,0.30534165220791804,0.5048518150436341,0.23754577350418585,0.5726476937473662,0.7074540767717357,0.02180700928015652
Fashion-MNIST,59,0.5,0.4,0.3072982799587222,0.509296065584314,0.23217180760187986,0.5844225379411564,0.6914065448594188,0.007565111849451321
Fashion-MNIST,11,0.75,0.0,0.281553973841339,0.40509319631645524,0.21549413904947176,0.4711530311083225,0.31908905920150643,0.013611824533344263
Fashion-MNIST,23,0.75,0.0,0.2716665192259661,0.4038398632239912,0.21273884256180406,0.4627675398881531,0.31297250455848286,0.0051598725508407205
Fashion-MNIST,37,0.75,0.0,0.28480174313088036,0.41781744682203364,0.2302971822357409,0.47232200771717303,0.3203912747115672,0.016003784303126288
Fashion-MNIST,47,0.75,0.0,0.2632612661152509,0.427882368976728,0.23057255437748042,0.4605710807144984,0.2841212849941134,0.02226084804731212
Fashion-MNIST,59,0.75,0.0,0.27437674672688867,0.42772498957695837,0.22663335756763486,0.4754683787362122,0.2863155404656176,0.011995081213082168
Fashion-MNIST,11,0.75,0.03,0.294288973841339,0.4222831963164553,0.20998913904947175,0.5065830311083226,0.3684690592015064,0.015303824533344262
Fashion-MNIST,23,0.75,0.03,0.28440151922596607,0.4210298632239912,0.20723384256180405,0.49819753988815324,0.36235250455848284,0.0068518725508407196
Fashion-MNIST,37,0.75,0.03,0.29753674313088035,0.4350074468220337,0.22479218223574088,0.5077520077171731,0.3697712747115672,0.017695784303126287
Fashion-MNIST,47,0.75,0.03,0.2759962661152509,0.44507236897672803,0.2250675543774804,0.49600108071449855,0.33350128499411336,0.02395284804731212
Fashion-MNIST,59,0.75,0.03,0.28711174672688866,0.4449149895769584,0.22112835756763485,0.5108983787362122,0.33569554046561756,0.013687081213082167
Fashion-MNIST,11,0.75,0.06,0.30549397384133903,0.4378531963164552,0.20547413904947176,0.5378730311083225,0.4146090592015064,0.016779824533344263
Fashion-MNIST,23,0.75,0.06,0.2956065192259661,0.43659986322399114,0.20271884256180406,0.5294875398881531,0.40849250455848285,0.00832787255084072
Fashion-MNIST,37,0.75,0.06,0.3087417431308804,0.4505774468220336,0.2202771822357409,0.539042007717173,0.4159112747115672,0.01917178430312629
Fashion-MNIST,47,0.75,0.06,0.28720126611525093,0.46064236897672795,0.22055255437748042,0.5272910807144984,0.37964128499411337,0.02542884804731212
Fashion-MNIST,59,0.75,0.06,0.2983167467268887,0.4604849895769583,0.21661335756763486,0.5421883787362122,0.3818355404656176,0.015163081213082168
Fashion-MNIST,11,0.75,0.1,0.318053973841339,0.45609319631645523,0.20099413904947178,0.5731530311083224,0.4710890592015064,0.018411824533344265
Fashion-MNIST,23,0.75,0.1,0.30816651922596605,0.45483986322399117,0.19823884256180407,0.5647675398881531,0.4649725045584828,0.009959872550840722
Fashion-MNIST,37,0.75,0.1,0.32130174313088034,0.46881744682203363,0.2157971822357409,0.5743220077171731,0.47239127471156717,0.020803784303126287
Fashion-MNIST,47,0.75,0.1,0.2997612661152509,0.478882368976728,0.21607255437748044,0.5625710807144985,0.43612128499411335,0.027060848047312118
Fashion-MNIST,59,0.75,0.1,0.31087674672688864,0.47872498957695836,0.21213335756763488,0.5774683787362122,0.43831554046561755,0.016795081213082166
Fashion-MNIST,11,0.75,0.15,0.329928973841339,0.4748431963164552,0.19786913904947176,0.6069030311083224,0.5335890592015065,0.019911824533344263
Fashion-MNIST,23,0.75,0.15,0.3200415192259661,0.47358986322399116,0.19511384256180406,0.5985175398881531,0.5274725045584828,0.01145987255084072
Fashion-MNIST,37,0.75,0.15,0.33317674313088036,0.4875674468220336,0.2126721822357409,0.6080720077171731,0.5348912747115672,0.022303784303126285
Fashion-MNIST,47,0.75,0.15,0.3116362661152509,0.49763236897672797,0.21294755437748042,0.5963210807144985,0.49862128499411335,0.02856084804731212
Fashion-MNIST,59,0.75,0.15,0.32275174672688867,0.49747498957695835,0.20900835756763486,0.6112183787362122,0.5008155404656176,0.018295081213082164
Fashion-MNIST,11,0.75,0.22,0.339413973841339,0.49353319631645526,0.19811413904947175,0.6348330311083225,0.6059690592015065,0.021003824533344262
Fashion-MNIST,23,0.75,0.22,0.32952651922596604,0.4922798632239912,0.19535884256180405,0.6264475398881533,0.5998525045584828,0.012551872550840719
Fashion-MNIST,37,0.75,0.22,0.3426617431308803,0.5062574468220337,0.21291718223574088,0.6360020077171732,0.6072712747115672,0.023395784303126284
Fashion-MNIST,47,0.75,0.22,0.3211212661152509,0.516322368976728,0.21319255437748041,0.6242510807144985,0.5710012849941134,0.029652848047312115
Fashion-MNIST,59,0.75,0.22,0.33223674672688863,0.5161649895769584,0.20925335756763486,0.6391483787362122,0.5731955404656176,0.019387081213082163
Fashion-MNIST,11,0.75,0.3,0.340053973841339,0.5040931963164553,0.20499413904947178,0.6391530311083224,0.6670890592015065,0.020811824533344264
Fashion-MNIST,23,0.75,0.3,0.33016651922596607,0.5028398632239913,0.20223884256180408,0.6307675398881534,0.6609725045584829,0.012359872550840721
Fashion-MNIST,37,0.75,0.3,0.34330174313088035,0.5168174468220337,0.2197971822357409,0.6403220077171732,0.6683912747115672,0.023203784303126286
Fashion-MNIST,47,0.75,0.3,0.3217612661152509,0.5268823689767281,0.22007255437748044,0.6285710807144986,0.6321212849941135,0.029460848047312117
Fashion-MNIST,59,0.75,0.3,0.33287674672688866,0.5267249895769585,0.21613335756763488,0.6434683787362122,0.6343155404656177,0.019195081213082166
Fashion-MNIST,11,0.75,0.4,0.32555397384133905,0.5010931963164552,0.22349413904947177,0.6031530311083224,0.7110890592015064,0.018411824533344265
Fashion-MNIST,23,0.75,0.4,0.3156665192259661,0.49983986322399115,0.22073884256180407,0.5947675398881532,0.7049725045584828,0.009959872550840722
Fashion-MNIST,37,0.75,0.4,0.3288017431308804,0.5138174468220336,0.2382971822357409,0.604322007717173,0.7123912747115672,0.020803784303126287
Fashion-MNIST,47,0.75,0.4,0.30726126611525095,0.523882368976728,0.23857255437748043,0.5925710807144986,0.6761212849941134,0.027060848047312118
Fashion-MNIST,59,0.75,0.4,0.3183767467268887,0.5237249895769583,0.23463335756763487,0.6074683787362121,0.6783155404656176,0.016795081213082166
Fashion-MNIST,11,1.0,0.0,0.29408977769848826,0.4206318594364775,0.20676528776903932,0.5079563493659265,0.3104927864377878,0.011807445404679554
Fashion-MNIST,23,1.0,0.0,0.2789373066240611,0.4255701137413561,0.22239559501789882,0.4821118253475183,0.3176059859804694,0.008095868772493653
Fashion-MNIST,37,1.0,0.0,0.28730665049328385,0.402822426744685,0.22776045172900491,0.46236862550896396,0.2837487509928022,0.011490150643007057
Fashion-MNIST,47,1.0,0.0,0.26123722664829535,0.404366214798539,0.22010387227057954,0.44549956917625483,0.2971574971630373,0.005110960480066488
Fashion-MNIST,59,1.0,0.0,0.2975079953032132,0.4246785327446798,0.21109720557721676,0.5110893224706762,0.3065154693243508,0.010082910297550669
Fashion-MNIST,11,1.0,0.03,0.3068247776984882,0.43782185943647756,0.20126028776903931,0.5433863493659266,0.3598727864377878,0.013499445404679553
Fashion-MNIST,23,1.0,0.03,0.291672306624061,0.44276011374135615,0.2168905950178988,0.5175418253475184,0.3669859859804694,0.009787868772493652
Fashion-MNIST,37,1.0,0.03,0.3000416504932838,0.42001242674468503,0.2222554517290049,0.497798625508964,0.3331287509928022,0.013182150643007056
Fashion-MNIST,47,1.0,0.03,0.2739722266482953,0.42155621479853905,0.21459887227057953,0.48092956917625485,0.3465374971630373,0.006802960480066487
Fashion-MNIST,59,1.0,0.03,0.31024299530321314,0.44186853274467985,0.20559220557721675,0.5465193224706761,0.3558954693243508,0.011774910297550668
Fashion-MNIST,11,1.0,0.06,0.3180297776984882,0.4533918594364775,0.19674528776903932,0.5746763493659264,0.4060127864377878,0.014975445404679554
Fashion-MNIST,23,1.0,0.06,0.30287730662406104,0.45833011374135607,0.21237559501789882,0.5488318253475183,0.41312598598046935,0.011263868772493654
Fashion-MNIST,37,1.0,0.06,0.3112466504932838,0.43558242674468495,0.2177404517290049,0.5290886255089639,0.3792687509928022,0.014658150643007057
Fashion-MNIST,47,1.0,0.06,0.2851772266482953,0.43712621479853897,0.21008387227057954,0.5122195691762548,0.3926774971630373,0.008278960480066488
Fashion-MNIST,59,1.0,0.06,0.32144799530321316,0.45743853274467977,0.20107720557721676,0.5778093224706762,0.4020354693243508,0.01325091029755067
Fashion-MNIST,11,1.0,0.1,0.33058977769848824,0.4716318594364775,0.19226528776903934,0.6099563493659264,0.4624927864377878,0.016607445404679552
Fashion-MNIST,23,1.0,0.1,0.31543730662406105,0.4765701137413561,0.20789559501789884,0.5841118253475184,0.4696059859804693,0.012895868772493654
Fashion-MNIST,37,1.0,0.1,0.32380665049328383,0.453822426744685,0.21326045172900493,0.5643686255089639,0.4357487509928022,0.016290150643007057
Fashion-MNIST,47,1.0,0.1,0.29773722664829533,0.455366214798539,0.20560387227057955,0.5474995691762548,0.44915749716303727,0.009910960480066488
Fashion-MNIST,59,1.0,0.1,0.3340079953032132,0.4756785327446798,0.19659720557721677,0.6130893224706762,0.4585154693243508,0.014882910297550669
Fashion-MNIST,11,1.0,0.15,0.3424647776984882,0.4903818594364775,0.18914028776903932,0.6437063493659263,0.5249927864377878,0.01810744540467955
Fashion-MNIST,23,1.0,0.15,0.327312306624061,0.4953201137413561,0.20477059501789882,0.6178618253475183,0.5321059859804693,0.014395868772493652
Fashion-MNIST,37,1.0,0.15,0.3356816504932838,0.47257242674468497,0.2101354517290049,0.5981186255089638,0.4982487509928022,0.017790150643007055
Fashion-MNIST,47,1.0,0.15,0.3096122266482953,0.474116214798539,0.20247887227057954,0.5812495691762547,0.5116574971630372,0.011410960480066486
Fashion-MNIST,59,1.0,0.15,0.34588299530321315,0.4944285327446798,0.19347220557721675,0.6468393224706762,0.5210154693243508,0.016382910297550665
Fashion-MNIST,11,1.0,0.22,0.3519497776984882,0.5090718594364775,0.18938528776903932,0.6716363493659264,0.5973727864377878,0.01919944540467955
Fashion-MNIST,23,1.0,0.22,0.336797306624061,0.5140101137413561,0.20501559501789882,0.6457918253475182,0.6044859859804693,0.01548786877249365
Fashion-MNIST,37,1.0,0.22,0.34516665049328377,0.49126242674468495,0.2103804517290049,0.6260486255089639,0.5706287509928022,0.018882150643007054
